breed,age,weight,lactation_stage,parity,hist_yield_avg7,feed_type,feed_quality,feed_qty_kg,walking_km,grazing_h,rumination_h,resting_h,body_temp,heart_rate,ambient_temp,humidity,housing_score,vaccinations_up_to_date,disease_history_count,season,health_score,disease_label,milk_yield,feed_efficiency
Holstein,5,689.2,mid,3,28.13,dry,4.94,17.84,1.38,5.59,5.24,12.57,38.8,61,22.66,71.23,8.64,1,0,winter,0.55,none,26.51,1.49
Jersey,14,580.8,early,2,19.99,dry,8.77,11.91,1.1,2.28,6.19,8.94,38.24,50,27.9,56.77,5.69,1,0,winter,0.55,none,19.16,1.61
Buffalo,7,503.8,mid,3,8.96,mixed,8.59,18.94,0.22,5.61,4.46,8.49,38.4,73,28.24,54.89,8.68,1,0,spring,0.56,none,9.36,0.49
Buffalo,7,495.9,late,5,7.9,dry,4.74,13.19,4.66,3.29,3.81,6.34,37.47,59,21.2,55.52,2.46,1,1,winter,0.41,minor,11.01,0.84
Jersey,8,559.9,mid,4,18.13,green,9.37,16.74,2.6,1.5,2.94,8.78,39.81,71,26.65,40.47,8.82,1,0,spring,0.61,none,18.96,1.13
Jersey,13,694.9,mid,4,20.37,green,8.14,19.89,2.83,1.6,5.81,8.99,38.78,68,25.41,75.89,3.86,1,0,spring,0.54,none,18.52,0.93
Holstein,6,665.5,mid,2,25.91,mixed,6.74,23.36,3.79,2.74,2.53,6.56,38.3,41,35.77,71.94,5.73,1,0,autumn,0.06,minor,14.57,0.62
Brown Swiss,12,561.7,early,5,17.99,mixed,3.22,14.21,0.79,1.74,3.56,9.08,38.87,82,14.65,34.25,5.42,1,0,autumn,0.3,minor,21.18,1.49
Holstein,2,599.1,mid,4,23.46,concentrate,6.95,22.32,4.0,3.92,4.24,12.08,38.78,91,26.86,73.95,7.58,1,0,spring,0.56,none,28.12,1.26
Jersey,9,657.7,mid,1,17.02,dry,4.12,27.38,1.19,4.93,5.41,10.61,38.43,57,19.19,94.57,7.23,1,0,winter,0.32,minor,16.43,0.6
Jersey,10,542.1,mid,2,16.5,mixed,6.19,24.28,0.0,4.0,4.62,8.72,38.33,71,29.35,63.72,9.19,1,0,winter,0.48,minor,17.12,0.71
Jersey,13,625.0,late,3,18.89,concentrate,4.37,23.32,2.23,5.7,5.56,7.87,38.77,71,21.71,31.16,7.2,1,0,spring,0.54,none,19.5,0.84
Jersey,12,606.7,mid,5,16.79,mixed,6.94,12.7,1.83,4.03,4.68,8.0,39.12,72,18.75,34.12,5.1,1,0,spring,0.52,none,19.6,1.54
Jersey,9,639.5,early,2,16.34,dry,6.84,12.25,1.15,5.02,3.93,11.63,37.1,59,23.97,94.85,4.66,0,0,autumn,0.16,minor,13.84,1.13
Jersey,4,525.9,mid,4,18.34,green,7.89,13.73,4.3,5.63,6.02,8.31,37.89,61,25.36,24.63,7.99,1,1,summer,0.6,none,18.16,1.32
Buffalo,12,492.3,early,5,9.7,dry,8.06,18.12,4.1,3.85,4.83,9.49,37.46,78,23.07,70.12,8.36,1,1,winter,0.61,none,12.12,0.67
Holstein,8,654.3,early,2,29.9,green,6.23,14.17,3.58,3.95,2.81,9.54,40.38,65,20.55,39.83,10.0,1,0,summer,0.53,none,28.96,2.04
Buffalo,14,457.6,early,1,14.15,mixed,7.07,11.72,2.1,0.0,1.52,11.66,38.28,62,29.99,87.94,8.07,1,0,winter,0.17,minor,8.42,0.72
Brown Swiss,3,647.8,late,3,17.63,mixed,9.81,24.44,0.97,2.06,3.08,11.41,38.35,45,25.6,68.78,8.93,1,0,autumn,0.67,none,23.73,0.97
Buffalo,6,536.0,early,8,14.55,concentrate,6.45,19.81,2.8,3.23,6.13,13.68,38.12,55,18.89,79.89,9.26,1,1,winter,0.54,none,13.13,0.66
Brown Swiss,8,573.8,mid,3,20.48,mixed,7.33,13.49,2.56,4.58,6.73,10.83,37.92,56,22.39,63.79,6.76,1,0,winter,0.6,none,17.51,1.3
Jersey,14,591.6,mid,4,13.61,mixed,4.14,12.79,1.66,2.64,5.38,11.33,38.3,65,18.44,33.11,4.0,1,0,winter,0.46,minor,17.42,1.36
Jersey,9,683.0,mid,4,18.23,mixed,6.71,22.22,0.01,4.11,4.27,10.7,39.05,71,27.09,72.84,8.38,1,0,summer,0.56,none,20.18,0.91
Brown Swiss,14,575.5,early,4,24.29,mixed,3.57,21.38,0.0,2.2,7.76,9.34,38.55,72,14.7,61.44,7.13,1,1,summer,0.44,minor,21.16,0.99
Jersey,4,601.3,early,2,16.31,dry,4.22,16.95,1.46,1.48,5.23,10.48,38.17,63,37.95,100.0,4.89,1,1,autumn,0.0,minor,11.51,0.68
Buffalo,8,599.8,late,3,13.18,mixed,4.97,23.62,1.12,2.04,3.37,8.15,38.24,40,23.6,49.84,8.58,0,0,autumn,0.43,minor,7.92,0.34
Holstein,11,558.9,late,4,25.61,green,8.37,26.14,1.89,2.48,3.05,11.39,38.57,71,18.17,67.03,7.41,1,0,summer,0.63,none,27.26,1.04
Buffalo,3,444.5,mid,2,4.39,dry,5.56,9.25,1.68,4.68,2.21,9.28,38.19,80,27.59,36.46,6.06,1,0,summer,0.4,minor,8.26,0.89
Brown Swiss,11,573.1,early,1,17.97,green,5.81,16.78,2.21,7.44,5.01,12.19,38.14,62,25.08,44.52,6.59,1,0,spring,0.55,none,23.07,1.37
Buffalo,14,458.8,late,1,9.5,concentrate,2.89,12.56,2.56,6.49,5.85,12.25,37.77,63,32.32,42.25,8.93,1,0,winter,0.23,minor,4.51,0.36
Holstein,5,631.6,late,4,29.15,green,7.82,15.49,0.0,3.17,2.38,9.35,38.19,69,36.9,21.11,10.0,1,0,summer,0.07,minor,11.62,0.75
Jersey,4,602.1,late,2,20.54,concentrate,6.07,23.01,3.7,1.72,7.39,10.09,38.53,65,25.42,10.0,6.63,0,0,spring,0.52,none,17.34,0.75
Holstein,3,549.6,early,3,17.93,concentrate,9.2,22.87,3.56,5.4,5.08,5.85,38.52,71,24.19,56.38,5.07,1,0,spring,0.62,none,35.97,1.57
Brown Swiss,5,614.1,mid,3,21.39,dry,7.47,20.69,4.46,7.07,4.65,11.35,38.55,58,26.62,73.43,7.43,1,0,spring,0.57,none,20.17,0.97
Holstein,6,620.9,early,3,29.66,mixed,6.55,17.87,3.7,5.34,6.67,10.05,37.98,84,30.14,50.87,9.85,1,0,spring,0.47,minor,30.98,1.73
Jersey,6,629.1,mid,6,18.01,concentrate,4.59,20.25,3.44,3.48,4.19,9.7,38.5,67,31.66,65.44,4.19,1,0,winter,0.25,minor,17.94,0.89
Holstein,3,606.5,mid,3,21.77,mixed,10.0,19.48,0.7,3.82,4.22,8.08,39.76,75,27.07,52.16,6.38,0,0,autumn,0.53,none,20.44,1.05
Brown Swiss,8,609.2,late,2,22.24,green,5.74,13.03,2.42,5.86,4.03,8.54,39.23,60,22.54,52.54,6.87,1,0,winter,0.5,minor,16.75,1.29
Brown Swiss,6,692.0,early,4,20.05,concentrate,7.98,23.78,1.82,4.57,6.89,11.76,38.48,56,19.85,46.38,7.51,1,0,winter,0.68,none,27.0,1.14
Jersey,10,555.0,mid,3,19.18,dry,4.97,15.71,2.7,1.48,2.51,6.93,38.25,51,22.91,93.3,4.24,1,1,winter,0.19,minor,13.29,0.85
Brown Swiss,5,684.8,early,3,20.31,green,5.67,16.19,3.61,1.98,5.6,6.79,38.58,52,22.45,100.0,8.86,1,0,spring,0.25,minor,16.76,1.04
Jersey,11,523.4,late,1,18.77,green,6.6,14.57,3.64,1.87,5.49,11.64,37.61,57,25.32,72.6,9.84,1,0,autumn,0.57,none,16.01,1.1
Holstein,8,586.3,early,3,22.68,concentrate,1.05,15.11,0.27,5.41,4.34,8.88,38.47,59,22.58,61.94,6.16,1,0,winter,0.39,minor,25.3,1.67
Buffalo,6,442.3,early,3,12.29,mixed,8.25,14.2,2.96,7.37,4.55,7.91,37.58,82,35.61,41.51,5.55,1,2,spring,0.13,minor,8.55,0.6
Brown Swiss,10,589.7,early,2,17.48,mixed,2.41,16.44,1.45,2.39,4.17,8.01,37.41,66,23.2,32.49,7.13,1,0,spring,0.43,minor,20.53,1.25
Jersey,14,634.1,early,2,16.83,green,8.57,21.38,3.7,3.66,5.59,6.44,38.31,62,32.34,49.88,7.53,1,0,autumn,0.37,minor,19.42,0.91
Brown Swiss,4,514.8,early,1,13.15,concentrate,5.75,17.87,3.35,1.65,4.15,9.76,39.37,81,29.76,66.62,9.67,1,0,summer,0.42,minor,20.61,1.15
Holstein,13,591.2,late,3,20.11,green,9.92,11.23,0.2,1.76,6.96,10.45,38.35,57,16.74,82.65,8.6,1,2,spring,0.53,none,20.62,1.84
Buffalo,12,444.8,early,3,8.1,mixed,4.09,12.94,0.0,0.0,4.52,14.75,37.42,52,26.3,95.39,7.4,1,0,winter,0.25,minor,8.09,0.63
Buffalo,6,467.1,late,1,12.67,concentrate,6.57,13.31,0.0,1.04,6.8,9.58,38.67,56,24.83,32.56,7.2,1,0,spring,0.58,none,7.94,0.6
Buffalo,13,489.4,mid,2,7.15,concentrate,4.42,16.93,3.06,1.98,3.17,6.06,38.13,70,18.53,61.94,4.05,1,0,summer,0.43,minor,9.12,0.54
Holstein,12,540.5,early,3,23.92,mixed,2.54,13.86,3.37,1.48,7.25,8.29,38.8,75,27.7,32.51,5.12,1,0,winter,0.43,minor,25.97,1.87
Jersey,10,530.7,early,3,18.28,green,5.62,12.47,2.27,0.94,6.62,9.77,38.3,69,24.54,26.84,4.88,1,0,autumn,0.52,none,17.69,1.42
Buffalo,7,472.0,early,5,14.74,mixed,7.5,11.37,4.29,0.29,5.4,10.98,37.97,71,21.92,73.9,3.32,1,0,winter,0.49,minor,11.53,1.01
Holstein,2,625.4,early,2,27.38,mixed,2.37,14.46,4.08,0.49,6.32,11.41,38.06,45,21.59,100.0,5.27,1,0,autumn,0.16,minor,22.54,1.56
Jersey,2,568.7,late,3,21.47,dry,6.53,10.89,0.0,0.77,3.14,5.91,37.84,55,22.22,93.86,6.47,1,1,spring,0.23,minor,12.21,1.12
Holstein,10,738.3,late,1,21.75,mixed,5.07,24.46,0.0,0.78,5.52,12.0,38.8,73,27.24,63.45,5.99,0,0,autumn,0.46,minor,20.5,0.84
Brown Swiss,2,679.6,late,3,17.54,dry,7.18,20.2,4.76,4.58,4.11,11.46,38.68,78,21.85,63.77,6.8,1,0,spring,0.58,none,19.26,0.95
Buffalo,7,499.5,late,2,7.62,mixed,8.45,19.38,2.56,2.03,5.16,10.76,38.16,78,28.48,42.16,10.0,1,0,autumn,0.58,none,7.55,0.39
Brown Swiss,14,691.2,late,5,22.21,mixed,5.17,24.28,4.19,2.59,4.53,10.95,38.11,51,31.89,50.98,7.04,1,0,spring,0.32,minor,15.27,0.63
Jersey,9,582.7,late,3,18.64,dry,6.42,19.32,0.52,8.11,4.57,10.41,38.84,60,25.05,59.91,5.17,1,0,winter,0.55,none,19.29,1.0
Buffalo,4,532.0,mid,6,13.11,concentrate,7.44,12.8,3.49,0.8,3.18,7.45,39.09,64,25.61,59.69,4.75,0,0,autumn,0.39,minor,8.63,0.67
Brown Swiss,12,628.9,late,3,25.57,mixed,7.27,19.33,3.64,3.59,4.35,10.13,38.55,64,17.09,84.86,9.13,1,0,spring,0.45,minor,16.23,0.84
Jersey,11,506.7,late,6,12.48,mixed,7.79,15.72,2.64,6.87,3.76,4.25,37.87,69,25.16,35.69,4.16,1,0,autumn,0.51,none,15.52,0.99
Brown Swiss,7,562.1,late,2,20.61,dry,6.37,12.8,0.9,2.21,8.0,7.3,38.25,65,23.18,81.48,6.38,1,1,autumn,0.46,minor,18.38,1.44
Jersey,14,587.2,late,2,18.44,concentrate,4.97,21.47,2.31,2.91,3.09,10.12,37.36,59,21.62,65.74,10.0,1,0,autumn,0.54,none,17.93,0.84
Buffalo,3,463.4,early,1,12.01,mixed,6.9,13.1,1.11,6.24,3.35,11.37,38.81,49,20.02,46.75,8.13,1,0,summer,0.54,none,8.6,0.66
Brown Swiss,6,603.6,mid,1,18.04,mixed,9.94,10.01,2.42,0.58,4.39,8.72,37.91,65,9.59,53.69,6.82,1,1,winter,0.22,minor,13.42,1.34
Buffalo,8,565.4,mid,4,10.75,dry,7.93,17.53,2.53,0.0,5.44,6.91,37.52,66,18.32,59.86,7.28,1,0,summer,0.6,none,12.67,0.72
Jersey,8,622.1,late,2,20.91,concentrate,5.06,16.29,0.52,1.69,2.9,9.72,38.88,57,24.46,55.59,9.11,1,1,spring,0.5,none,15.99,0.98
Jersey,14,602.7,mid,1,22.0,green,7.67,19.03,1.31,3.66,2.41,12.93,38.81,56,21.49,25.94,6.37,1,1,autumn,0.56,none,20.7,1.09
Holstein,3,584.7,mid,5,25.03,mixed,6.88,11.3,3.0,3.01,8.0,9.22,38.69,93,26.16,58.65,5.03,1,0,autumn,0.57,none,26.01,2.3
Holstein,13,528.8,mid,4,23.49,green,8.01,17.62,0.0,4.39,4.85,9.34,38.43,48,26.15,32.71,6.43,1,0,spring,0.59,none,29.48,1.67
Jersey,14,672.6,late,2,13.67,dry,6.99,16.71,3.8,1.64,3.65,10.47,38.09,65,30.92,62.34,7.24,1,1,winter,0.36,minor,14.92,0.89
Jersey,3,589.9,mid,2,18.74,dry,7.33,16.14,4.47,7.03,6.31,13.08,37.58,50,23.07,60.82,6.6,1,0,winter,0.61,none,23.14,1.43
Holstein,8,654.3,mid,4,23.64,dry,8.49,25.0,0.73,2.48,4.25,10.14,39.16,56,31.54,62.03,10.0,1,0,summer,0.44,minor,24.78,0.99
Holstein,5,588.0,early,2,24.78,dry,5.87,18.64,2.15,2.18,4.87,8.43,38.51,65,19.6,65.35,7.52,1,0,spring,0.55,none,29.42,1.58
Brown Swiss,12,578.9,early,3,18.39,concentrate,4.73,10.27,1.31,4.75,5.3,13.12,38.95,70,36.3,58.06,7.13,1,0,spring,0.04,minor,12.95,1.26
Brown Swiss,9,559.2,early,5,20.49,dry,10.0,17.39,1.11,0.24,6.96,9.3,38.03,68,28.9,72.68,7.04,1,0,autumn,0.56,none,25.87,1.49
Jersey,13,654.7,late,3,12.64,green,3.29,23.85,4.28,0.47,5.15,9.2,38.34,68,17.24,37.86,6.4,1,0,summer,0.51,none,15.26,0.64
Jersey,10,614.1,mid,2,15.2,concentrate,5.94,18.68,0.14,0.22,5.27,8.48,37.63,74,21.21,83.0,7.06,1,0,winter,0.42,minor,12.01,0.64
Jersey,4,593.7,mid,4,17.94,green,7.84,22.25,2.69,4.72,4.47,15.65,37.77,59,30.41,75.05,7.97,1,1,summer,0.43,minor,20.08,0.9
Jersey,11,612.8,mid,2,18.95,concentrate,4.59,18.14,1.73,3.99,6.48,10.3,37.73,66,40.67,92.92,1.05,1,0,spring,0.0,minor,10.37,0.57
Buffalo,3,486.7,mid,3,7.19,mixed,8.52,9.34,1.17,1.86,8.0,8.63,37.21,59,27.73,75.68,10.0,1,2,spring,0.56,none,8.93,0.96
Brown Swiss,5,537.4,late,2,22.19,green,4.22,10.09,2.31,3.15,4.17,9.07,38.73,78,20.32,61.78,8.92,1,0,spring,0.47,minor,15.68,1.55
Brown Swiss,6,608.4,early,1,16.44,mixed,6.52,24.14,5.12,5.56,3.23,10.9,38.21,67,20.37,25.73,6.31,1,0,autumn,0.56,none,24.54,1.02
Brown Swiss,3,626.5,late,5,20.31,concentrate,5.72,19.71,1.24,2.71,3.81,10.22,38.85,62,12.95,71.81,7.24,1,0,spring,0.32,minor,12.83,0.65
Buffalo,11,497.1,late,1,8.78,green,5.5,12.35,1.81,2.03,2.21,12.54,38.35,57,18.23,75.41,4.4,1,1,summer,0.39,minor,6.21,0.5
Brown Swiss,14,611.8,late,2,22.67,mixed,6.49,14.28,0.42,3.52,4.18,7.57,39.29,74,13.41,30.51,8.19,0,0,summer,0.25,minor,14.35,1.0
Jersey,10,548.9,late,4,20.41,mixed,10.0,15.63,2.83,2.14,5.13,6.99,38.5,65,35.79,24.1,6.44,1,0,summer,0.18,minor,10.13,0.65
Jersey,9,508.7,early,1,15.03,dry,5.08,13.55,1.32,2.9,4.21,7.88,38.55,75,25.77,47.8,6.75,1,0,winter,0.48,minor,18.61,1.37
Jersey,3,562.4,late,3,16.45,dry,5.61,20.06,2.22,3.19,5.8,8.81,39.32,64,19.86,55.41,9.46,1,0,spring,0.59,none,15.33,0.76
Buffalo,4,456.3,early,1,11.05,dry,6.37,11.94,2.52,6.78,4.44,11.07,38.51,65,24.01,42.85,7.67,0,0,summer,0.43,minor,12.07,1.01
Jersey,5,588.6,mid,4,16.24,dry,4.84,23.07,4.78,2.56,5.5,10.11,39.54,43,27.26,45.46,2.29,1,0,winter,0.5,minor,20.43,0.89
Holstein,3,599.4,mid,3,27.72,dry,7.16,18.54,5.29,2.14,7.41,10.27,39.52,52,26.11,52.13,7.28,1,2,autumn,0.63,none,26.56,1.43
Buffalo,11,498.1,mid,4,10.04,mixed,7.67,16.89,0.76,3.73,7.89,10.5,39.04,71,26.84,63.73,8.09,1,0,summer,0.66,none,11.2,0.66
Brown Swiss,12,664.8,early,4,14.22,concentrate,6.79,22.14,1.34,0.23,3.22,9.46,37.74,68,22.23,63.7,7.31,1,0,autumn,0.56,none,24.74,1.12
Holstein,3,611.8,mid,3,21.14,green,5.93,13.68,3.12,0.19,3.61,11.07,38.12,55,30.44,78.95,8.44,1,1,autumn,0.26,minor,20.31,1.48
Buffalo,5,478.3,mid,2,11.19,mixed,5.23,8.2,3.07,1.46,4.59,6.46,37.96,49,22.39,52.11,7.18,1,0,spring,0.46,minor,6.2,0.76
Holstein,5,605.6,early,5,28.55,mixed,5.23,13.8,1.91,0.74,2.42,9.31,39.37,64,26.07,17.4,7.88,1,0,winter,0.47,minor,29.14,2.11
Jersey,13,616.6,late,2,15.4,concentrate,8.04,13.2,2.87,1.64,5.36,8.87,38.16,80,16.55,69.71,10.0,1,1,spring,0.59,none,14.48,1.1
Buffalo,13,511.3,early,3,15.95,green,4.82,11.84,0.3,4.27,4.94,8.21,38.28,57,26.78,100.0,8.1,1,0,summer,0.19,minor,9.82,0.83
Buffalo,12,476.7,mid,2,12.32,concentrate,6.18,11.11,1.78,4.68,4.24,10.88,37.85,72,26.88,35.96,6.55,0,0,summer,0.41,minor,6.94,0.62
Brown Swiss,8,706.7,mid,4,18.66,dry,5.86,12.98,1.96,4.8,5.09,12.18,38.85,64,21.23,50.27,4.06,1,0,spring,0.51,none,21.15,1.63
Holstein,4,528.0,late,4,24.46,mixed,3.62,21.77,0.33,4.59,4.59,9.77,38.36,67,27.75,81.17,9.82,1,0,spring,0.38,minor,20.39,0.94
Jersey,6,621.4,early,2,17.9,green,7.24,22.41,1.96,0.0,7.52,9.4,38.01,53,22.98,48.75,5.53,1,0,autumn,0.64,none,24.71,1.1
Brown Swiss,4,581.1,late,4,18.02,mixed,8.04,21.87,2.1,0.61,4.56,7.12,38.55,67,23.38,64.83,7.83,1,0,winter,0.61,none,18.95,0.87
Buffalo,12,578.9,mid,3,13.45,dry,8.66,22.96,2.69,7.72,4.08,14.25,38.96,78,23.08,76.89,9.85,1,0,spring,0.61,none,10.93,0.48
Holstein,3,589.1,mid,2,20.68,dry,7.94,16.28,2.27,3.55,2.98,7.94,38.6,65,20.75,44.11,6.82,1,0,winter,0.54,none,28.31,1.74
Buffalo,5,509.7,late,3,4.93,concentrate,9.59,15.61,2.83,5.67,6.29,8.54,38.86,83,19.68,100.0,7.77,1,0,summer,0.36,minor,3.98,0.26
Buffalo,5,486.9,late,4,9.02,mixed,6.63,12.22,2.19,2.9,3.29,9.42,38.85,70,23.62,73.54,5.04,1,0,autumn,0.45,minor,10.86,0.89
Holstein,12,586.2,late,3,23.47,dry,4.68,16.9,1.63,1.38,8.0,10.64,38.78,60,21.53,80.51,3.65,1,0,winter,0.44,minor,22.68,1.34
Jersey,3,620.8,late,3,20.21,dry,8.16,15.06,2.04,2.79,3.5,7.44,38.15,66,20.46,53.4,3.23,1,0,summer,0.51,none,16.67,1.11
Holstein,7,602.9,mid,4,32.77,dry,5.28,12.81,0.94,2.56,8.0,9.44,37.98,56,31.84,79.95,6.03,1,0,spring,0.21,minor,20.53,1.6
Holstein,7,693.4,early,1,24.89,concentrate,5.45,19.42,0.0,0.02,2.42,12.17,37.56,84,20.62,94.75,6.27,1,0,spring,0.25,minor,25.11,1.29
Jersey,2,583.4,early,2,16.95,mixed,3.23,15.13,3.06,2.58,4.51,8.14,38.13,79,18.16,74.42,7.09,1,1,spring,0.41,minor,17.78,1.17
Brown Swiss,13,622.9,early,2,14.26,green,6.13,27.46,4.21,1.99,6.08,8.81,38.5,71,31.68,77.9,7.15,1,1,summer,0.31,minor,17.63,0.64
Buffalo,8,496.2,mid,2,7.64,dry,7.35,14.55,2.65,3.68,4.36,7.08,37.57,95,33.87,86.8,5.65,1,0,summer,0.02,minor,4.92,0.34
Holstein,14,642.0,early,6,26.17,green,5.32,16.78,0.3,0.0,4.83,11.63,37.67,67,29.71,23.27,6.46,0,1,summer,0.29,minor,26.72,1.59
Holstein,5,634.6,early,1,23.39,concentrate,6.51,16.52,1.66,0.65,5.74,10.35,37.53,74,23.94,63.24,8.53,1,0,summer,0.59,none,31.54,1.91
Jersey,8,625.4,late,1,21.72,dry,5.7,15.95,1.93,1.48,3.42,5.74,37.57,84,21.06,98.07,7.81,1,0,winter,0.21,minor,11.32,0.71
Buffalo,6,577.9,late,3,13.83,mixed,9.44,18.13,1.55,6.1,3.53,10.1,38.78,56,21.18,45.73,9.83,1,0,summer,0.64,none,8.48,0.47
Jersey,3,572.5,early,2,16.78,mixed,6.17,15.9,1.34,4.52,2.34,13.15,38.58,71,29.35,45.84,5.17,1,0,summer,0.38,minor,19.55,1.23
Buffalo,10,530.4,early,3,7.51,green,5.32,5.0,0.48,5.11,4.13,9.07,37.1,48,32.14,72.35,4.41,0,0,summer,0.04,minor,3.29,0.66
Jersey,3,628.6,early,5,17.74,concentrate,5.31,5.58,3.74,3.66,2.77,10.95,38.23,60,20.39,70.74,5.4,1,0,spring,0.41,minor,18.64,3.34
Buffalo,10,534.6,early,4,7.73,dry,8.04,18.08,2.62,0.0,4.84,7.65,38.48,41,15.76,83.78,7.74,1,1,winter,0.4,minor,10.59,0.59
Buffalo,9,482.8,mid,2,10.18,mixed,5.85,15.08,1.44,2.03,5.49,13.03,38.59,76,28.73,81.69,5.78,1,0,summer,0.34,minor,9.52,0.63
Jersey,10,606.3,mid,2,21.05,mixed,7.72,18.76,3.07,1.21,5.3,10.6,37.7,69,17.51,51.44,7.08,0,0,autumn,0.51,none,16.55,0.88
Jersey,7,561.8,mid,3,24.51,green,4.73,21.37,1.39,0.27,6.28,9.17,38.89,74,26.65,100.0,3.55,1,1,autumn,0.22,minor,17.64,0.83
Holstein,12,560.3,mid,1,22.65,green,9.19,15.85,1.83,4.55,2.5,10.11,37.84,62,21.48,47.24,7.45,0,0,autumn,0.48,minor,22.06,1.39
Holstein,6,589.7,late,3,30.61,green,4.44,21.48,1.29,3.57,4.09,12.56,38.15,78,18.7,54.14,9.8,1,0,summer,0.56,none,22.33,1.04
Jersey,7,695.3,late,2,13.09,green,5.07,24.82,0.0,4.19,5.79,14.03,39.13,68,33.15,70.78,6.08,1,0,spring,0.27,minor,13.16,0.53
Buffalo,13,489.0,early,5,4.55,green,4.94,17.64,4.1,0.0,5.83,12.59,39.11,44,19.88,34.4,8.05,1,0,winter,0.56,none,12.12,0.69
Holstein,3,607.4,early,2,21.82,mixed,6.47,18.44,2.92,4.39,5.13,12.19,38.28,50,27.86,62.53,7.99,1,0,summer,0.55,none,29.1,1.58
Holstein,5,653.9,late,3,30.16,concentrate,9.35,16.25,2.03,4.61,5.99,12.2,38.21,65,32.49,45.89,8.15,1,0,autumn,0.4,minor,19.64,1.21
Brown Swiss,13,587.0,late,3,20.87,green,5.13,14.22,4.96,0.98,5.17,10.72,38.31,54,20.29,49.07,5.58,1,0,spring,0.51,none,17.11,1.2
Brown Swiss,7,582.8,late,3,19.97,dry,5.25,12.47,0.0,1.47,5.88,8.08,37.57,55,22.69,53.09,6.74,0,0,autumn,0.41,minor,19.12,1.53
Holstein,9,557.2,early,1,27.58,mixed,6.87,22.88,3.56,5.12,4.38,9.81,38.32,49,33.83,74.91,6.31,0,0,spring,0.09,minor,21.02,0.92
Buffalo,3,490.2,early,2,12.55,dry,7.49,11.99,2.44,0.0,7.34,7.19,38.29,51,20.62,60.27,5.94,1,0,winter,0.58,none,10.92,0.91
Jersey,7,661.0,early,1,15.96,dry,7.35,21.46,0.42,4.5,3.66,12.61,38.82,53,21.83,49.07,7.32,1,1,spring,0.6,none,22.52,1.05
Buffalo,4,513.5,mid,3,9.21,mixed,8.61,14.37,1.21,0.0,6.6,11.57,38.17,50,18.07,68.89,6.82,1,0,summer,0.64,none,12.74,0.89
Buffalo,13,541.4,early,3,13.24,concentrate,9.88,15.62,1.08,0.0,6.3,8.9,40.28,57,37.63,74.97,4.94,1,0,winter,0.06,minor,8.91,0.57
Holstein,5,629.8,late,3,25.53,dry,6.8,18.47,0.06,2.33,4.53,13.86,38.63,75,24.29,22.52,8.34,1,0,winter,0.6,none,21.34,1.16
Holstein,6,653.3,mid,4,19.58,green,7.64,16.43,1.27,2.57,5.57,7.03,37.74,65,32.19,59.49,5.42,1,0,summer,0.31,minor,19.53,1.19
Brown Swiss,10,528.0,mid,2,16.37,green,6.06,24.05,0.0,3.32,5.26,7.94,38.56,72,25.58,87.69,2.64,1,0,spring,0.36,minor,19.75,0.82
Jersey,4,661.7,mid,1,21.19,green,5.31,32.03,2.29,0.0,5.57,8.56,39.2,70,21.41,90.05,8.88,1,0,spring,0.43,minor,16.98,0.53
Brown Swiss,3,601.8,mid,2,20.72,green,4.71,10.59,0.0,3.85,4.67,9.48,37.71,58,27.26,58.96,8.65,1,0,spring,0.48,minor,15.41,1.45
Jersey,14,595.1,late,5,14.06,concentrate,8.74,21.5,3.21,5.72,4.36,9.4,39.53,71,11.68,69.1,5.84,1,0,autumn,0.35,minor,14.83,0.69
Jersey,14,618.2,early,4,21.44,concentrate,8.15,19.44,2.65,3.51,5.03,14.33,38.05,76,24.24,30.39,6.62,1,0,summer,0.63,none,23.92,1.23
Jersey,12,673.6,late,2,17.89,concentrate,7.77,17.48,2.2,2.65,2.81,10.25,38.24,62,27.18,85.45,5.3,1,0,spring,0.37,minor,12.53,0.72
Brown Swiss,7,629.3,early,4,17.3,mixed,7.09,18.19,2.54,2.95,5.82,10.37,38.3,44,28.16,52.53,8.56,0,0,autumn,0.46,minor,24.72,1.36
Brown Swiss,10,608.2,early,2,19.03,green,4.27,21.34,1.13,2.06,4.22,10.13,37.75,42,27.75,17.73,8.71,0,0,winter,0.39,minor,21.13,0.99
Holstein,6,577.2,early,2,30.12,concentrate,5.57,18.64,3.46,2.83,8.0,8.97,39.1,72,20.8,51.51,9.04,1,1,spring,0.62,none,32.43,1.74
Jersey,13,596.8,mid,2,17.27,concentrate,5.66,27.01,3.37,1.06,8.0,9.13,38.52,73,13.18,55.26,5.85,1,2,autumn,0.44,minor,18.28,0.68
Jersey,5,607.4,late,2,16.46,concentrate,3.92,16.24,1.84,1.89,5.53,8.86,37.95,71,33.22,37.86,7.49,1,0,summer,0.19,minor,10.24,0.63
Jersey,9,561.1,early,5,18.34,mixed,5.78,18.56,3.85,6.33,3.86,12.2,38.83,74,24.45,56.26,8.87,1,0,winter,0.56,none,22.62,1.22
Buffalo,7,419.4,mid,2,12.44,mixed,5.6,11.23,3.81,1.78,5.68,10.39,39.04,73,24.8,26.07,6.54,1,0,winter,0.52,none,8.39,0.75
Brown Swiss,4,600.7,mid,5,17.93,dry,5.27,18.8,1.74,2.02,4.45,8.41,38.39,76,15.92,66.93,9.76,1,0,summer,0.5,minor,19.22,1.02
